observation_id,observed_at,vendor_name,listing_url,product_name_as_listed,brand_as_listed,species_as_listed,grade_as_listed,origin_as_listed,net_weight_g,list_price_usd,sale_price_usd,price_per_gram_usd,discount_pct_claimed,in_stock,shipping_stated_usd,description_hash,snapshot_path,scrape_status,notes
OBS-000017,2026-08-30T09:35:33Z,The Caviar Club,https://thecaviarclub.com/products/a-carefully-curated-selection-of-our-best-caviars,Caviar Sampler,The Caviar Club,Royal Ossetra + Kaluga Hybrid Reserve,,,200,,200.00,1.0000,,,,5191518d8fd5e295,snapshots/2026-08-30/caviarclub-caviar-sampler-200g.html,ok,extracted_via=selectors
OBS-000018,2026-08-30T09:35:33Z,Loft Caviar,https://loftcaviar.com/products/ossetra-reserve,Ossetra Reserve Caviar,Loft Caviar,Acipenser Guldenstadtii,,Caspian Sea,50,138.00,55.00,1.1000,60.1,,,3416d03713c7654b,snapshots/2026-08-30/loftcaviar-ossetra-reserve-50g.html,ok,extracted_via=selectors
OBS-000019,2026-08-30T09:44:36Z,Hey Caviar,https://heycaviar.com/product/our-signature-caviar/,Our Signature Caviar,Hey Caviar,kaluga,grade A,,113,,199.99,1.7698,,,,d789a359e9eb46b2,snapshots/2026-08-30/heycaviar-our-signature-caviar-4oz-113g_094436Z.html,ok,extracted_via=selectors
OBS-000020,2026-08-30T09:44:36Z,Petrossian,https://www.petrossian.com/products/kaluga-huso-hybrid-caviar,Royal Kaluga Huso Hybrid Caviar,Petrossian,Huso Dauricus & Acipenser Shrenckii,,China,30,,219.00,7.3000,,TRUE,,617d3d09429ba85d,snapshots/2026-08-30/petrossian-royal-kaluga-huso-hybrid-30g_094436Z.html,ok,extracted_via=jsonld
OBS-000021,2026-08-30T09:44:36Z,Pearl Street Caviar,https://pearlstreetcaviar.com/products/keluga,Keluga,Pearl Street Caviar,Keluga,,,12,,52.00,4.3333,,TRUE,,76296d1f4cda0e48,snapshots/2026-08-30/pearlstreet-keluga-slim-12g_094436Z.html,ok,extracted_via=jsonld
OBS-000022,2026-08-30T09:44:36Z,The Caviar Co.,https://thecaviarco.com/products/imperial-golden-osetra-caviar,1 KILO (1000 g)* Imperial Golden Osetra Caviar,The Caviar Co.,Farmed Acipenser Gueldenstaedtii,,China,1000,,6808.00,6.8080,,,,37f54f1dd161005e,snapshots/2026-08-30/caviarco-imperial-golden-osetra-1kg_094436Z.html,ok,extracted_via=jsonld
OBS-000023,2026-08-30T09:44:36Z,Imperia Caviar,https://imperiacaviar.com/products/kaluga,Kaluga Hybrid Reserve Caviar,Imperia Caviar,Kaluga Hybrid,Reserve,,130,,255.00,1.9615,,,,f53245633ee770e8,snapshots/2026-08-30/imperia-kaluga-hybrid-reserve-100g-promo_094436Z.html,ok,extracted_via=selectors
OBS-000024,2026-08-30T09:44:36Z,Tsar Nicoulai,https://tsarnicoulai.com/products/classic-caviar,Classic Caviar,Tsar Nicoulai,Farmed Acipenser transmontanus,,"Wilton, CA",28,,80.00,2.8571,,,,88973b6ba0eaad2b,snapshots/2026-08-30/tsarnicoulai-classic-caviar-1oz_094436Z.html,ok,extracted_via=selectors
OBS-000025,2026-08-30T09:44:36Z,OM Caviar,https://omcaviar.com/products/kaluga-hybrid,Kaluga Hybrid Caviar,OM Caviar,Kaluga Hybrid,,,50,,105.00,2.1000,,TRUE,,354617cc15ca1b2d,snapshots/2026-08-30/omcaviar-kaluga-hybrid-50g.html,ok,extracted_via=jsonld
OBS-000026,2026-08-30T09:44:36Z,Cavi Caviar,https://eatcavi.com/products/amur-sturgeon-caviar,Amur Sturgeon Caviar,CAVI,Amur Sturgeon,,,30,,105.00,3.5000,,,,7bfbda372783cdaa,snapshots/2026-08-30/eatcavi-amur-sturgeon-30g.html,ok,extracted_via=selectors
OBS-000027,2026-08-30T09:44:36Z,Calvisius Caviar USA,https://calvisiususa.com/products/calvisius-tradition-prestige,Calvisius Tradition Prestige,Calvisius Caviar,"Pacific White sturgeon, Acipenser transmontanus",,,28,,85.00,3.0357,,,,,snapshots/2026-08-30/calvisiususa-tradition-prestige-28g.html,ok,extracted_via=selectors
OBS-000028,2026-08-30T09:44:36Z,The Caviar Club,https://thecaviarclub.com/products/a-carefully-curated-selection-of-our-best-caviars,Caviar Sampler,The Caviar Club,Royal Ossetra + Kaluga Hybrid Reserve,,,200,,200.00,1.0000,,,,5191518d8fd5e295,snapshots/2026-08-30/caviarclub-caviar-sampler-200g_094436Z.html,ok,extracted_via=selectors
OBS-000029,2026-08-30T09:44:36Z,Loft Caviar,https://loftcaviar.com/products/ossetra-reserve,Ossetra Reserve Caviar,Loft Caviar,Acipenser Guldenstadtii,,Caspian Sea,50,138.00,55.00,1.1000,60.1,,,3416d03713c7654b,snapshots/2026-08-30/loftcaviar-ossetra-reserve-50g_094436Z.html,ok,extracted_via=selectors
OBS-000030,2026-08-30T10:06:06Z,Hey Caviar,https://heycaviar.com/product/our-signature-caviar/,Our Signature Caviar,Hey Caviar,kaluga,grade A,,113,,199.99,1.7698,,,,d789a359e9eb46b2,snapshots/2026-08-30/heycaviar-our-signature-caviar-4oz-113g_100606Z.html,ok,extracted_via=selectors
OBS-000031,2026-08-30T10:06:06Z,Petrossian,https://www.petrossian.com/products/kaluga-huso-hybrid-caviar,Royal Kaluga Huso Hybrid Caviar,Petrossian,Huso Dauricus & Acipenser Shrenckii,,China,30,,219.00,7.3000,,TRUE,,617d3d09429ba85d,snapshots/2026-08-30/petrossian-royal-kaluga-huso-hybrid-30g_100606Z.html,ok,extracted_via=jsonld
OBS-000032,2026-08-30T10:06:06Z,Pearl Street Caviar,https://pearlstreetcaviar.com/products/keluga,Keluga,Pearl Street Caviar,Keluga,,,12,,52.00,4.3333,,TRUE,,76296d1f4cda0e48,snapshots/2026-08-30/pearlstreet-keluga-slim-12g_100606Z.html,ok,extracted_via=jsonld
OBS-000033,2026-08-30T10:06:06Z,The Caviar Co.,https://thecaviarco.com/products/imperial-golden-osetra-caviar,1 KILO (1000 g)* Imperial Golden Osetra Caviar,The Caviar Co.,Farmed Acipenser Gueldenstaedtii,,China,1000,,6808.00,6.8080,,,,37f54f1dd161005e,snapshots/2026-08-30/caviarco-imperial-golden-osetra-1kg_100606Z.html,ok,extracted_via=jsonld
OBS-000034,2026-08-30T10:06:06Z,Imperia Caviar,https://imperiacaviar.com/products/kaluga,Kaluga Hybrid Reserve Caviar,Imperia Caviar,Kaluga Hybrid,Reserve,,130,,255.00,1.9615,,,,f53245633ee770e8,snapshots/2026-08-30/imperia-kaluga-hybrid-reserve-100g-promo_100606Z.html,ok,extracted_via=selectors
OBS-000035,2026-08-30T10:06:06Z,Tsar Nicoulai,https://tsarnicoulai.com/products/classic-caviar,Classic Caviar,Tsar Nicoulai,Farmed Acipenser transmontanus,,"Wilton, CA",28,,80.00,2.8571,,,,88973b6ba0eaad2b,snapshots/2026-08-30/tsarnicoulai-classic-caviar-1oz_100606Z.html,ok,extracted_via=selectors
OBS-000036,2026-08-30T10:06:06Z,OM Caviar,https://omcaviar.com/products/kaluga-hybrid,Kaluga Hybrid Caviar,OM Caviar,Kaluga Hybrid,,,50,,105.00,2.1000,,TRUE,,354617cc15ca1b2d,snapshots/2026-08-30/omcaviar-kaluga-hybrid-50g_100606Z.html,ok,extracted_via=jsonld
OBS-000037,2026-08-30T10:06:06Z,Cavi Caviar,https://eatcavi.com/products/amur-sturgeon-caviar,Amur Sturgeon Caviar,CAVI,Amur Sturgeon,,,30,,105.00,3.5000,,,,7bfbda372783cdaa,snapshots/2026-08-30/eatcavi-amur-sturgeon-30g_100606Z.html,ok,extracted_via=selectors
OBS-000038,2026-08-30T10:06:06Z,Calvisius Caviar USA,https://calvisiususa.com/products/calvisius-tradition-prestige,Calvisius Tradition Prestige,Calvisius Caviar,"Pacific White sturgeon, Acipenser transmontanus",,,28,,85.00,3.0357,,,,,snapshots/2026-08-30/calvisiususa-tradition-prestige-28g_100606Z.html,ok,extracted_via=selectors
OBS-000039,2026-08-30T10:06:06Z,The Caviar Club,https://thecaviarclub.com/products/a-carefully-curated-selection-of-our-best-caviars,Caviar Sampler,The Caviar Club,Royal Ossetra + Kaluga Hybrid Reserve,,,200,,200.00,1.0000,,,,5191518d8fd5e295,snapshots/2026-08-30/caviarclub-caviar-sampler-200g_100606Z.html,ok,extracted_via=selectors
OBS-000040,2026-08-30T10:06:06Z,Loft Caviar,https://loftcaviar.com/products/ossetra-reserve,Ossetra Reserve Caviar,Loft Caviar,Acipenser Guldenstadtii,,Caspian Sea,50,138.00,55.00,1.1000,60.1,,,3416d03713c7654b,snapshots/2026-08-30/loftcaviar-ossetra-reserve-50g_100606Z.html,ok,extracted_via=selectors
OBS-000041,2026-08-30T10:06:06Z,Petrusco,https://petruscocaviar.com/products/petrusco-caviar-royal-ossetra,Royal Ossetra Caviar,Petrusco,Royal Ossetra,,,30,,91.00,3.0333,,TRUE,,d7cd94e95356f7f1,snapshots/2026-08-30/petrusco-royal-ossetra-30g.html,ok,extracted_via=jsonld
OBS-000042,2026-08-30T10:06:06Z,Caviére,https://caviereco.com/products/reserve-kaluga,Reserve Kaluga Caviar,Caviére,Huso dauricus x Acipenser schrenckii,,,30,,105.00,3.5000,,,,908217d687e3957e,snapshots/2026-08-30/caviere-reserve-kaluga-30g.html,ok,extracted_via=selectors
OBS-000043,2026-08-30T10:06:06Z,Caviar Russe,https://www.caviarrusse.com/products/select-osetra-caviar,Select Osetra,Caviar Russe,Acipenser Gueldenstaedtii,,,50,,250.00,5.0000,,,,6df14a25b14691b2,snapshots/2026-08-30/caviarrusse-select-osetra-50g.html,ok,extracted_via=selectors
OBS-000044,2026-08-30T10:06:06Z,Astrea Caviar,https://astreacaviar.com/products/astrea-kaluga-hybrid-caviar,Premier Selection Kaluga Hybrid,Astrea Caviar,Huso dauricus and Acipenser schrenckii,,,30,,160.00,5.3333,,,,6df14a25b14691b2,snapshots/2026-08-30/astrea-kaluga-hybrid-30g.html,ok,extracted_via=selectors
OBS-000045,2026-08-30T10:06:06Z,Caviar Star,https://www.caviarstar.com/products/kaluga-hybrid-caviar-limited-edition,"VIP Imperial Kaluga Hybrid Caviar ""OT"" Tins",Caviar Star,Kaluga Hybrid,,,50,,175.00,3.5000,,TRUE,,1f2860a25e95330d,snapshots/2026-08-30/caviarstar-vip-imperial-kaluga-50g.html,ok,extracted_via=jsonld
OBS-000046,2026-08-30T10:12:54Z,Hey Caviar,https://heycaviar.com/product/our-signature-caviar/,Our Signature Caviar,Hey Caviar,kaluga,grade A,,113,,199.99,1.7698,,,,d789a359e9eb46b2,snapshots/2026-08-30/heycaviar-our-signature-caviar-4oz-113g_101254Z.html,ok,extracted_via=selectors
OBS-000047,2026-08-30T10:12:54Z,Petrossian,https://www.petrossian.com/products/kaluga-huso-hybrid-caviar,Royal Kaluga Huso Hybrid Caviar,Petrossian,Huso Dauricus & Acipenser Shrenckii,,China,30,,219.00,7.3000,,TRUE,,617d3d09429ba85d,snapshots/2026-08-30/petrossian-royal-kaluga-huso-hybrid-30g_101254Z.html,ok,extracted_via=jsonld
OBS-000048,2026-08-30T10:12:54Z,Pearl Street Caviar,https://pearlstreetcaviar.com/products/keluga,Keluga,Pearl Street Caviar,Keluga,,,12,,52.00,4.3333,,TRUE,,76296d1f4cda0e48,snapshots/2026-08-30/pearlstreet-keluga-slim-12g_101254Z.html,ok,extracted_via=jsonld
OBS-000049,2026-08-30T10:12:54Z,The Caviar Co.,https://thecaviarco.com/products/imperial-golden-osetra-caviar,1 KILO (1000 g)* Imperial Golden Osetra Caviar,The Caviar Co.,Farmed Acipenser Gueldenstaedtii,,China,1000,,6808.00,6.8080,,,,37f54f1dd161005e,snapshots/2026-08-30/caviarco-imperial-golden-osetra-1kg_101254Z.html,ok,extracted_via=jsonld
OBS-000050,2026-08-30T10:12:54Z,Imperia Caviar,https://imperiacaviar.com/products/kaluga,Kaluga Hybrid Reserve Caviar,Imperia Caviar,Kaluga Hybrid,Reserve,,130,,255.00,1.9615,,,,f53245633ee770e8,snapshots/2026-08-30/imperia-kaluga-hybrid-reserve-100g-promo_101254Z.html,ok,extracted_via=selectors
OBS-000051,2026-08-30T10:12:54Z,Tsar Nicoulai,https://tsarnicoulai.com/products/classic-caviar,Classic Caviar,Tsar Nicoulai,Farmed Acipenser transmontanus,,"Wilton, CA",28,,80.00,2.8571,,,,88973b6ba0eaad2b,snapshots/2026-08-30/tsarnicoulai-classic-caviar-1oz_101254Z.html,ok,extracted_via=selectors
OBS-000052,2026-08-30T10:12:54Z,OM Caviar,https://omcaviar.com/products/kaluga-hybrid,Kaluga Hybrid Caviar,OM Caviar,Kaluga Hybrid,,,50,,105.00,2.1000,,TRUE,,354617cc15ca1b2d,snapshots/2026-08-30/omcaviar-kaluga-hybrid-50g_101254Z.html,ok,extracted_via=jsonld
OBS-000053,2026-08-30T10:12:54Z,Cavi Caviar,https://eatcavi.com/products/amur-sturgeon-caviar,Amur Sturgeon Caviar,CAVI,Amur Sturgeon,,,30,,105.00,3.5000,,,,7bfbda372783cdaa,snapshots/2026-08-30/eatcavi-amur-sturgeon-30g_101254Z.html,ok,extracted_via=selectors
OBS-000054,2026-08-30T10:12:54Z,Calvisius Caviar USA,https://calvisiususa.com/products/calvisius-tradition-prestige,Calvisius Tradition Prestige,Calvisius Caviar,"Pacific White sturgeon, Acipenser transmontanus",,,28,,85.00,3.0357,,,,,snapshots/2026-08-30/calvisiususa-tradition-prestige-28g_101254Z.html,ok,extracted_via=selectors
OBS-000055,2026-08-30T10:12:54Z,The Caviar Club,https://thecaviarclub.com/products/a-carefully-curated-selection-of-our-best-caviars,Caviar Sampler,The Caviar Club,Royal Ossetra + Kaluga Hybrid Reserve,,,200,,200.00,1.0000,,,,5191518d8fd5e295,snapshots/2026-08-30/caviarclub-caviar-sampler-200g_101254Z.html,ok,extracted_via=selectors
OBS-000056,2026-08-30T10:12:54Z,Loft Caviar,https://loftcaviar.com/products/ossetra-reserve,Ossetra Reserve Caviar,Loft Caviar,Acipenser Guldenstadtii,,Caspian Sea,50,138.00,55.00,1.1000,60.1,,,3416d03713c7654b,snapshots/2026-08-30/loftcaviar-ossetra-reserve-50g_101254Z.html,ok,extracted_via=selectors
OBS-000057,2026-08-30T10:12:54Z,Petrusco,https://petruscocaviar.com/products/petrusco-caviar-royal-ossetra,Royal Ossetra Caviar,Petrusco,Royal Ossetra,,,30,,91.00,3.0333,,TRUE,,d7cd94e95356f7f1,snapshots/2026-08-30/petrusco-royal-ossetra-30g_101254Z.html,ok,extracted_via=jsonld
OBS-000058,2026-08-30T10:12:54Z,Caviére,https://caviereco.com/products/reserve-kaluga,Reserve Kaluga Caviar,Caviére,Huso dauricus x Acipenser schrenckii,,,30,,105.00,3.5000,,,,908217d687e3957e,snapshots/2026-08-30/caviere-reserve-kaluga-30g_101254Z.html,ok,extracted_via=selectors
OBS-000059,2026-08-30T10:12:54Z,Caviar Russe,https://www.caviarrusse.com/products/select-osetra-caviar,Select Osetra,Caviar Russe,Acipenser Gueldenstaedtii,,,50,,250.00,5.0000,,,,6df14a25b14691b2,snapshots/2026-08-30/caviarrusse-select-osetra-50g_101254Z.html,ok,extracted_via=selectors
OBS-000060,2026-08-30T10:12:54Z,Astrea Caviar,https://astreacaviar.com/products/astrea-kaluga-hybrid-caviar,Premier Selection Kaluga Hybrid,Astrea Caviar,Huso dauricus and Acipenser schrenckii,,,30,,160.00,5.3333,,,,6df14a25b14691b2,snapshots/2026-08-30/astrea-kaluga-hybrid-30g_101254Z.html,ok,extracted_via=selectors
OBS-000061,2026-08-30T10:12:54Z,Caviar Star,https://www.caviarstar.com/products/kaluga-hybrid-caviar-limited-edition,"VIP Imperial Kaluga Hybrid Caviar ""OT"" Tins",Caviar Star,Kaluga Hybrid,,,50,,175.00,3.5000,,TRUE,,1f2860a25e95330d,snapshots/2026-08-30/caviarstar-vip-imperial-kaluga-50g_101254Z.html,ok,extracted_via=jsonld
OBS-000062,2026-08-30T10:12:54Z,Browne Trading Company,https://brownetrading.com/collections/buy-caviar-online/products/american-hackleback-caviar,American Hackleback Caviar,Browne Trading Company,American Hackleback,,,28,,78.00,2.7857,,TRUE,,de0a336b54989bd1,snapshots/2026-08-30/brownetrading-american-hackleback-1oz.html,ok,extracted_via=jsonld
OBS-000063,2026-08-30T10:12:54Z,Tsar Caviar,https://tsarcaviar.com/products/imperial-kaluga-fusion-caviar,Imperial Kaluga Fusion Caviar - 1KG / 35.2 OZ,Tsar Caviar,Imperial Kaluga Fusion,,,1000,,1265.00,1.2650,,TRUE,,,snapshots/2026-08-30/tsarcaviar-imperial-kaluga-fusion-1kg.html,ok,extracted_via=jsonld
OBS-000064,2026-08-30T10:12:54Z,Island Creek Oysters,https://islandcreekoysters.com/collections/caviar/products/american-osetra-caviar,Island Creek American Osetra Caviar,ICO,American Osetra,,,30,,199.00,6.6333,,TRUE,,e3b0c44298fc1c14,snapshots/2026-08-30/islandcreek-american-osetra-30g.html,ok,extracted_via=jsonld
OBS-000065,2026-08-30T10:12:54Z,Regalis Foods,https://regalisfoods.com/products/imperial-black-kaluga-farmed-in-china,,Regalis Foods,Imperial Black Kaluga,,Farmed in China,28,,78.00,2.7857,,,,,snapshots/2026-08-30/regalis-imperial-black-kaluga-1oz.html,ok,extracted_via=selectors
OBS-000066,2026-08-30T10:34:06Z,Hey Caviar,https://heycaviar.com/product/our-signature-caviar/,Our Signature Caviar,Hey Caviar,kaluga,grade A,,113,,199.99,1.7698,,,,d789a359e9eb46b2,snapshots/2026-08-30/heycaviar-our-signature-caviar-4oz-113g_103406Z.html,ok,extracted_via=selectors
OBS-000067,2026-08-30T10:34:06Z,Petrossian,https://www.petrossian.com/products/kaluga-huso-hybrid-caviar,Royal Kaluga Huso Hybrid Caviar,Petrossian,Huso Dauricus & Acipenser Shrenckii,,China,30,,219.00,7.3000,,TRUE,,617d3d09429ba85d,snapshots/2026-08-30/petrossian-royal-kaluga-huso-hybrid-30g_103406Z.html,ok,extracted_via=jsonld
OBS-000068,2026-08-30T10:34:06Z,Pearl Street Caviar,https://pearlstreetcaviar.com/products/keluga,Keluga,Pearl Street Caviar,Keluga,,,12,,52.00,4.3333,,TRUE,,76296d1f4cda0e48,snapshots/2026-08-30/pearlstreet-keluga-slim-12g_103406Z.html,ok,extracted_via=jsonld
OBS-000069,2026-08-30T10:34:06Z,The Caviar Co.,https://thecaviarco.com/products/imperial-golden-osetra-caviar,1 KILO (1000 g)* Imperial Golden Osetra Caviar,The Caviar Co.,Farmed Acipenser Gueldenstaedtii,,China,1000,,6808.00,6.8080,,,,37f54f1dd161005e,snapshots/2026-08-30/caviarco-imperial-golden-osetra-1kg_103406Z.html,ok,extracted_via=jsonld
OBS-000070,2026-08-30T10:34:06Z,Imperia Caviar,https://imperiacaviar.com/products/kaluga,Kaluga Hybrid Reserve Caviar,Imperia Caviar,Kaluga Hybrid,Reserve,,130,,255.00,1.9615,,,,f53245633ee770e8,snapshots/2026-08-30/imperia-kaluga-hybrid-reserve-100g-promo_103406Z.html,ok,extracted_via=selectors
OBS-000071,2026-08-30T10:34:06Z,Tsar Nicoulai,https://tsarnicoulai.com/products/classic-caviar,Classic Caviar,Tsar Nicoulai,Farmed Acipenser transmontanus,,"Wilton, CA",28,,80.00,2.8571,,,,88973b6ba0eaad2b,snapshots/2026-08-30/tsarnicoulai-classic-caviar-1oz_103406Z.html,ok,extracted_via=selectors
OBS-000072,2026-08-30T10:34:06Z,OM Caviar,https://omcaviar.com/products/kaluga-hybrid,Kaluga Hybrid Caviar,OM Caviar,Kaluga Hybrid,,,50,,105.00,2.1000,,TRUE,,354617cc15ca1b2d,snapshots/2026-08-30/omcaviar-kaluga-hybrid-50g_103406Z.html,ok,extracted_via=jsonld
OBS-000073,2026-08-30T10:34:06Z,Cavi Caviar,https://eatcavi.com/products/amur-sturgeon-caviar,Amur Sturgeon Caviar,CAVI,Amur Sturgeon,,,30,,105.00,3.5000,,,,7bfbda372783cdaa,snapshots/2026-08-30/eatcavi-amur-sturgeon-30g_103406Z.html,ok,extracted_via=selectors
OBS-000074,2026-08-30T10:34:06Z,Calvisius Caviar USA,https://calvisiususa.com/products/calvisius-tradition-prestige,Calvisius Tradition Prestige,Calvisius Caviar,"Pacific White sturgeon, Acipenser transmontanus",,,28,,85.00,3.0357,,,,,snapshots/2026-08-30/calvisiususa-tradition-prestige-28g_103406Z.html,ok,extracted_via=selectors
OBS-000075,2026-08-30T10:34:06Z,The Caviar Club,https://thecaviarclub.com/products/a-carefully-curated-selection-of-our-best-caviars,Caviar Sampler,The Caviar Club,Royal Ossetra + Kaluga Hybrid Reserve,,,200,,200.00,1.0000,,,,5191518d8fd5e295,snapshots/2026-08-30/caviarclub-caviar-sampler-200g_103406Z.html,ok,extracted_via=selectors
OBS-000076,2026-08-30T10:34:06Z,Loft Caviar,https://loftcaviar.com/products/ossetra-reserve,Ossetra Reserve Caviar,Loft Caviar,Acipenser Guldenstadtii,,Caspian Sea,50,138.00,55.00,1.1000,60.1,,,3416d03713c7654b,snapshots/2026-08-30/loftcaviar-ossetra-reserve-50g_103406Z.html,ok,extracted_via=selectors
OBS-000077,2026-08-30T10:34:06Z,Petrusco,https://petruscocaviar.com/products/petrusco-caviar-royal-ossetra,Royal Ossetra Caviar,Petrusco,Royal Ossetra,,,30,,91.00,3.0333,,TRUE,,d7cd94e95356f7f1,snapshots/2026-08-30/petrusco-royal-ossetra-30g_103406Z.html,ok,extracted_via=jsonld
OBS-000078,2026-08-30T10:34:06Z,Caviére,https://caviereco.com/products/reserve-kaluga,Reserve Kaluga Caviar,Caviére,Huso dauricus x Acipenser schrenckii,,,30,,105.00,3.5000,,,,908217d687e3957e,snapshots/2026-08-30/caviere-reserve-kaluga-30g_103406Z.html,ok,extracted_via=selectors
OBS-000079,2026-08-30T10:34:06Z,Caviar Russe,https://www.caviarrusse.com/products/select-osetra-caviar,Select Osetra,Caviar Russe,Acipenser Gueldenstaedtii,,,50,,250.00,5.0000,,,,6df14a25b14691b2,snapshots/2026-08-30/caviarrusse-select-osetra-50g_103406Z.html,ok,extracted_via=selectors
